               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.066327,             0.00791,           0.0034967,             0.78297,             0.50974,               0.587,             0.27021,            0.063243,           0.0028674,           0.0022131,            0.003466,            0.003466,            0.003466
                 101,            0.063918,           0.0074721,           0.0035098,             0.71571,             0.51827,             0.58368,             0.25875,            0.063735,           0.0028788,           0.0023517,              0.0034,              0.0034,              0.0034
                 102,            0.063382,            0.007746,           0.0035115,             0.68214,             0.53596,             0.56367,             0.26256,            0.063593,           0.0029542,             0.00245,            0.003334,            0.003334,            0.003334
                 103,            0.064718,           0.0077674,           0.0033228,              0.7486,             0.51555,             0.57957,              0.2793,            0.063467,           0.0030194,           0.0023199,            0.003268,            0.003268,            0.003268
                 104,            0.064102,           0.0077622,           0.0034861,             0.73036,             0.51935,             0.58539,             0.29491,            0.062759,           0.0028731,           0.0022484,            0.003202,            0.003202,            0.003202
                 105,            0.064221,           0.0078234,           0.0037301,             0.70593,             0.50748,             0.56196,              0.2535,             0.06298,           0.0028829,           0.0023336,            0.003136,            0.003136,            0.003136
                 106,            0.064586,           0.0078595,           0.0033568,             0.69757,             0.54884,             0.58572,             0.26878,            0.062137,           0.0028349,           0.0021352,             0.00307,             0.00307,             0.00307
                 107,            0.064809,           0.0076819,           0.0035456,             0.76594,             0.50735,             0.58707,             0.26555,            0.062479,            0.002828,           0.0022743,            0.003004,            0.003004,            0.003004
                 108,            0.064015,            0.007608,           0.0031488,             0.69564,             0.50227,             0.55827,             0.26587,            0.062765,           0.0028099,           0.0022786,            0.002938,            0.002938,            0.002938
                 109,            0.062714,           0.0076335,           0.0031784,             0.66294,             0.56151,             0.57773,             0.26547,            0.062331,           0.0028788,           0.0018226,            0.002872,            0.002872,            0.002872
                 110,            0.064622,           0.0075749,           0.0030706,             0.73603,             0.52479,             0.59288,             0.27787,             0.06279,           0.0028899,           0.0021629,            0.002806,            0.002806,            0.002806
                 111,            0.063695,           0.0077685,           0.0032184,             0.70048,             0.55051,             0.59698,             0.28356,            0.062081,           0.0028616,           0.0017799,             0.00274,             0.00274,             0.00274
                 112,            0.062322,           0.0075437,           0.0031356,             0.70158,             0.52738,             0.55735,             0.25781,            0.062686,           0.0028352,           0.0033729,            0.002674,            0.002674,            0.002674
                 113,            0.063341,           0.0077228,           0.0036402,             0.72099,              0.5407,             0.60839,             0.27657,            0.061703,           0.0028309,           0.0022027,            0.002608,            0.002608,            0.002608
                 114,            0.063208,           0.0075932,           0.0033541,             0.75904,             0.50988,             0.59448,             0.27663,            0.063747,           0.0028706,           0.0024297,            0.002542,            0.002542,            0.002542
                 115,            0.063977,           0.0077008,           0.0032541,             0.72751,             0.54316,             0.60357,             0.28194,            0.062188,           0.0028496,           0.0024202,            0.002476,            0.002476,            0.002476
                 116,            0.061667,            0.007563,           0.0027952,             0.76024,             0.53879,             0.61121,              0.2846,            0.061679,           0.0028518,           0.0024278,             0.00241,             0.00241,             0.00241
                 117,            0.063216,           0.0076542,           0.0031343,             0.72545,             0.51308,             0.56842,             0.26009,            0.061875,           0.0027564,            0.002006,            0.002344,            0.002344,            0.002344
